student_id,RegEventId,semester_credits,SGPA,CGPA_to_date
1,2,26.00,4.46,4.46
10,2,26.00,7.88,7.88
100,2,26.00,7.19,7.19
1000,9,26.00,7.31,7.31
1001,9,26.00,5.58,5.58
1002,9,26.00,6.88,6.88
1003,9,26.00,7.23,7.23
1004,9,26.00,7.31,7.31
1005,9,26.00,5.54,5.54
1006,9,26.00,7.85,7.85
1007,9,26.00,7.85,7.85
1008,9,26.00,5.73,5.73
1009,9,26.00,8.85,8.85
101,2,26.00,7.35,7.35
1010,9,26.00,6.85,6.85
1011,9,26.00,7.38,7.38
1012,9,26.00,4.50,4.50
1013,9,26.00,7.35,7.35
1014,9,26.00,6.00,6.00
1015,9,26.00,5.81,5.81
1016,9,26.00,5.50,5.50
1017,9,26.00,7.81,7.81
1018,9,26.00,6.38,6.38
1019,9,26.00,7.69,7.69
102,2,26.00,8.08,8.08
1020,9,26.00,8.23,8.23
1021,9,26.00,6.69,6.69
1022,9,26.00,6.08,6.08
1023,9,26.00,6.23,6.23
1024,9,26.00,6.38,6.38
1025,9,26.00,6.88,6.88
1026,9,26.00,7.38,7.38
1027,9,26.00,5.00,5.00
1028,9,26.00,7.31,7.31
1029,9,26.00,6.62,6.62
103,2,26.00,8.15,8.15
1030,9,26.00,7.77,7.77
1031,9,26.00,7.31,7.31
1032,9,26.00,3.42,3.42
1033,9,26.00,7.54,7.54
1034,9,26.00,8.35,8.35
1035,9,26.00,8.42,8.42
1036,9,26.00,7.15,7.15
1037,9,26.00,7.04,7.04
1038,9,26.00,6.15,6.15
1039,9,26.00,5.31,5.31
104,2,26.00,7.12,7.12
1040,9,26.00,8.15,8.15
1041,9,26.00,5.08,5.08
1042,9,26.00,8.19,8.19
1043,9,26.00,4.46,4.46
1044,9,26.00,7.50,7.50
1045,9,26.00,6.62,6.62
1046,9,26.00,6.38,6.38
1047,9,26.00,6.50,6.50
1048,9,26.00,7.92,7.92
1049,9,26.00,8.54,8.54
105,2,26.00,8.35,8.35
1050,9,26.00,8.27,8.27
1051,9,26.00,6.35,6.35
1052,9,26.00,6.85,6.85
1053,9,26.00,8.46,8.46
1054,9,26.00,7.00,7.00
1055,9,26.00,5.96,5.96
1056,9,26.00,7.04,7.04
1057,9,26.00,5.69,5.69
1058,9,26.00,6.27,6.27
1059,9,26.00,5.46,5.46
106,2,26.00,6.62,6.62
1060,9,26.00,7.54,7.54
1061,9,26.00,8.38,8.38
1062,9,26.00,8.15,8.15
1063,9,26.00,7.62,7.62
1064,9,26.00,6.12,6.12
1065,9,26.00,8.31,8.31
1066,9,26.00,5.04,5.04
1067,9,26.00,6.15,6.15
