id,RegEventId,Regulation,AttGrade,RegId,NGrade
10,1,1,P,1882,EX
11,1,1,P,1891,B
12,1,1,P,1909,A
13,1,1,P,1927,C
14,1,1,P,1936,D
15,1,1,P,1945,F
16,1,1,P,1954,C
17,1,1,P,1972,EX
18,1,1,P,1981,B
19,1,1,P,1990,EX
20,1,1,P,1874,D
21,1,1,P,1883,A
22,1,1,P,1892,D
23,1,1,P,1901,C
24,1,1,P,1919,D
25,1,1,P,1937,D
26,1,1,P,1955,C
28,1,1,P,1973,D
29,1,1,P,1982,B
30,1,1,P,1991,C
31,1,1,P,1875,B
32,1,1,P,1884,D
33,1,1,P,1893,A
34,1,1,P,1902,F
35,1,1,P,1911,B
36,1,1,P,1929,A
37,1,1,P,1938,F
38,1,1,P,1947,EX
39,1,1,P,1956,C
40,1,1,P,1974,C
41,1,1,P,1983,C
42,1,1,P,1992,EX
43,1,1,P,1878,B
44,1,1,P,1896,EX
45,1,1,P,1905,A
46,1,1,P,1914,EX
47,1,1,P,1923,A
48,1,1,P,1932,A
49,1,1,P,1950,C
50,1,1,P,1959,A
52,1,1,P,1977,B
53,1,1,P,1995,C
54,1,1,P,1876,C
55,1,1,P,1894,F
56,1,1,P,1903,F
57,1,1,P,1912,A
58,1,1,P,1930,EX
59,1,1,P,1939,F
60,1,1,P,1948,F
61,1,1,P,1957,F
62,1,1,P,1975,C
63,1,1,P,1984,D
64,1,1,P,1993,F
65,1,1,P,1886,B
66,1,1,P,1895,C
67,1,1,P,1913,B
68,1,1,P,1922,C
69,1,1,P,1940,EX
70,1,1,P,1949,EX
71,1,1,P,1958,D
73,1,1,P,1985,D
74,1,1,P,1994,F
75,1,1,P,1879,F
76,1,1,P,1888,A
77,1,1,P,1897,EX
78,1,1,P,1915,F
79,1,1,P,1924,F
80,1,1,P,1933,EX
81,1,1,P,1951,C
83,1,1,P,1978,EX
84,1,1,P,1987,B
85,1,1,P,1996,A
86,1,1,P,1889,A
87,1,1,P,1898,EX
88,1,1,P,1907,A
89,1,1,P,1916,C
90,1,1,P,1925,EX
91,1,1,P,1943,EX
92,1,1,P,1952,EX
94,1,1,P,1979,F
95,1,1,P,1997,F
96,1,1,P,1881,B
97,1,1,P,1890,D
98,1,1,P,1899,B
99,1,1,P,1908,B
100,1,1,P,1926,F
101,1,1,P,1935,D
102,1,1,P,1944,A
103,1,1,P,1953,C
105,1,1,P,1989,A
106,1,1,P,1998,B
107,1,1,P,2017,EX
108,1,1,P,2035,C
109,1,1,P,2044,C
110,1,1,P,2053,C
