"id","AYear","ASem","BYear","BSem","Dept","Regulation","Mode","SubId","SubCode","SubName","Credits","OfferedBy","Type","Category","DistributionRatio","Distribution","DistributionNames","PromoteThreshold","RegEventId"
"2",2015,1,1,1,10,"1","R","5","EC101","Basic Electronics Engineering",3,6,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","2"
"3",2015,1,1,1,10,"1","R","6","HS101","English for Communication",4,12,"THEORY","HSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","2"
"4",2015,1,1,1,10,"1","R","7","MA101","Mathematics - I",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","2"
"5",2015,1,1,1,10,"1","R","8","PH101","Physics",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","2"
"6",2015,1,1,1,9,"1","R","10","CE101","Engineering Mechanics",4,3,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","1"
"7",2015,1,1,1,9,"1","R","11","CY101","Chemistry",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","1"
"8",2015,1,1,1,9,"1","R","12","CY102","Chemistry Lab",2,11,"LAB","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","1"
"9",2015,1,1,1,9,"1","R","13","EA101","EAA: Games and Sports - I",0,12,"OTHER","MDC","1","100","End","30","1"
"10",2015,1,1,1,9,"1","R","15","MA101","Mathematics - I",4,11,"THEORY","BSC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","1"
"11",2015,1,1,1,9,"1","R","17","ME102","Engineering Graphics",4,7,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","1"
"12",2015,1,1,1,9,"1","R","18","ME103","Workshop Practice",2,7,"THEORY","ESC","1","100","End","30","1"
"13",2015,2,1,2,9,"1","R","19","CE102","Environmental Studies",3,3,"THEORY","ESC","1","100+100+100+100","M1+MD+M2+E","0+0+0+15","3"
