order_id,cust_id,prod_id,quantity
o001,c1,p1,1
o002,c1,p1,2
o003,c1,p3,1
o004,c1,p3,4
o005,c1,p1,1
o006,c1,p1,3
o007,c1,p3,2
o008,c1,p3,5
o009,c1,p3,1
o010,c1,p3,2
o011,c1,p1,1
o012,c1,p1,2
o013,c1,p3,3
o014,c1,p3,1
o015,c1,p1,4
o016,c1,p3,2
o017,c1,p3,1
o018,c1,p3,5
o019,c1,p1,3
o020,c1,p1,1
o021,c1,p3,1
o022,c1,p3,2
o023,c1,p1,4
o024,c1,p1,3
o025,c1,p3,1
o026,c2,p3,2
o027,c2,p3,3
o028,c2,p3,1
o029,c2,p3,5
o030,c2,p3,2
o031,c2,p3,1
o032,c2,p3,3
o033,c2,p3,4
o034,c2,p1,2
o035,c2,p1,3
o036,c2,p1,2
o037,c2,p1,1
o038,c2,p3,3
o039,c2,p3,4
o040,c2,p3,5
o041,c3,p4,2
o042,c4,p2,1
o043,c5,p5,3
o044,c6,p6,1
o045,c7,p1,2
o046,c8,p3,1
o047,c9,p5,2
o048,c10,p4,1
o049,c11,p2,1
o050,c12,p1,1
o051,c13,p7,2
o052,c14,p8,1
o053,c15,p6,2

